Time,Amount,Class,anomaly_score,anomaly_flag
166198.0,25691.16,0,0.11209157104017753,1
121450.0,4861.64,0,0.10538784323466643,1
121340.0,4543.64,0,0.10119762154725587,1
95286.0,18910.0,0,0.1005401393652019,1
48401.0,19656.53,0,0.09805022966253085,1
122723.0,1676.6,0,0.09516444627170606,1
142019.0,5964.95,0,0.09493533167009693,1
136137.0,1676.6,0,0.09351879409658226,1
136124.0,1676.6,0,0.09279665326284092,1
39954.0,1201.83,0,0.09186669186757568,1
94362.0,1.0,1,0.09066505541911452,1
146772.0,3552.96,0,0.08968782958614863,1
141812.0,1417.29,0,0.08853219296293435,1
130956.0,4248.34,0,0.08604620520729866,1
101313.0,2.28,1,0.08523490554131474,1
102572.0,0.01,1,0.08250316635523336,1
86624.0,2018.09,0,0.08180279147579095,1
46253.0,11898.09,0,0.08156087957101177,1
70891.0,1235.79,0,0.08055370640753146,1
102114.0,0.0,1,0.08019467517324297,1
75207.0,243.26,0,0.08010208585353595,1
100223.0,2.28,1,0.0793835635602913,1
100924.0,1.0,1,0.07895557920106089,1
133161.0,1860.0,0,0.07769576501459763,1
126241.0,519.76,0,0.07670807870163499,1
95559.0,1.63,1,0.07664544978021015,1
147012.0,1201.93,0,0.07517084606225177,1
55709.0,8790.26,0,0.07436936040582875,1
42951.0,12910.93,0,0.0742774782344604,1
51575.0,500.0,0,0.07367595316484521,1
100298.0,1.0,1,0.07353815184847312,1
94364.0,1.0,1,0.07184320130155952,1
141655.0,3502.11,0,0.07092026014947228,1
1264.0,7712.43,0,0.07077541231930817,1
97235.0,9.82,1,0.07003577872172673,1
69311.0,5303.69,0,0.0698261593687508,1
86570.0,102.0,0,0.06905328441458936,1
144755.0,8360.0,0,0.06867590212120778,1
119713.0,11789.84,0,0.06852635356744696,1
79617.0,1593.37,0,0.06805145481149377,1
143863.0,200.0,0,0.06780728198090091,1
82802.0,305.25,0,0.0675962538633158,1
160669.0,1441.06,0,0.0670564740513181,1
140878.0,538.71,0,0.06695749535043538,1
134033.0,1402.38,0,0.0668138770208222,1
134070.0,660.38,0,0.06669545378475716,1
57225.0,318.25,0,0.06640172704868508,1
83065.0,407.0,0,0.06627990111207094,1
146082.0,2687.48,0,0.06570391351751226,1
97121.0,8.64,1,0.06534602562238145,1
